date,candidate,venue,win,qual
2025-11-14,Marine Le Pen,polymarket,15.5,
2025-11-14,Jordan Bardella,polymarket,34.0,
2025-11-14,Éric Zemmour,polymarket,21.5,
2025-11-14,Édouard Philippe,polymarket,20.5,
2025-11-14,David Lisnard,polymarket,16.5,
2025-11-14,Laurent Wauquiez,polymarket,33.0,
2025-11-14,Gabriel Attal,polymarket,15.5,
2025-11-14,Bruno Retailleau,polymarket,28.0,
2025-11-14,François Hollande,polymarket,13.0,
2025-11-14,Raphaël Glucksmann,polymarket,43.0,
2025-11-14,Jean-Luc Mélenchon,polymarket,17.5,
2025-11-14,Marine Tondelier,polymarket,18.0,
2025-11-14,Fabien Roussel,polymarket,15.0,
2025-11-14,Olivier Faure,polymarket,23.5,
2025-11-14,Dominique de Villepin,polymarket,41.0,
2025-11-14,Nicolas Dupont-Aignan,polymarket,14.5,
2025-11-15,Marine Le Pen,polymarket,12.5,
2025-11-15,Jordan Bardella,polymarket,26.5,
2025-11-15,Éric Zemmour,polymarket,1.2,
2025-11-15,Édouard Philippe,polymarket,23.0,
2025-11-15,David Lisnard,polymarket,4.5,
2025-11-15,Laurent Wauquiez,polymarket,3.1,
2025-11-15,Gabriel Attal,polymarket,6.0,
2025-11-15,Bruno Retailleau,polymarket,7.0,
2025-11-15,François Hollande,polymarket,0.7,
2025-11-15,Raphaël Glucksmann,polymarket,8.0,
2025-11-15,Jean-Luc Mélenchon,polymarket,7.0,
2025-11-15,Marine Tondelier,polymarket,1.4,
2025-11-15,Fabien Roussel,polymarket,1.1,
2025-11-15,Olivier Faure,polymarket,1.1,
2025-11-15,Dominique de Villepin,polymarket,2.5,
2025-11-15,Nicolas Dupont-Aignan,polymarket,1.4,
2025-11-16,Marine Le Pen,polymarket,11.0,
2025-11-16,Jordan Bardella,polymarket,28.0,
2025-11-16,Éric Zemmour,polymarket,1.8,
2025-11-16,Édouard Philippe,polymarket,23.5,
2025-11-16,David Lisnard,polymarket,5.5,
2025-11-16,Laurent Wauquiez,polymarket,4.7,
2025-11-16,Gabriel Attal,polymarket,6.5,
2025-11-16,Bruno Retailleau,polymarket,7.5,
2025-11-16,François Hollande,polymarket,0.7,
2025-11-16,Raphaël Glucksmann,polymarket,7.5,
2025-11-16,Jean-Luc Mélenchon,polymarket,7.0,
2025-11-16,Marine Tondelier,polymarket,1.9,
2025-11-16,Fabien Roussel,polymarket,1.0,
