date,venue,candidate,market,volume,liquidity
2026-09-24,polymarket,Marine Le Pen,win,2686474,467105
2026-09-24,polymarket,Marine Le Pen,qual,12513,20933
2026-09-24,polymarket,Jordan Bardella,win,2242226,173695
2026-09-24,polymarket,Jordan Bardella,qual,22817,16179
2026-09-24,polymarket,Éric Zemmour,win,2519452,242187
2026-09-24,polymarket,Éric Zemmour,qual,695,18014
2026-09-24,polymarket,Édouard Philippe,win,1704361,227009
2026-09-24,polymarket,Édouard Philippe,qual,2648,5522
2026-09-24,polymarket,David Lisnard,win,2430501,226372
2026-09-24,polymarket,David Lisnard,qual,55024,95974
2026-09-24,polymarket,Laurent Wauquiez,win,3684663,592321
2026-09-24,polymarket,Laurent Wauquiez,qual,758,13036
2026-09-24,polymarket,Gabriel Attal,win,2388129,222510
2026-09-24,polymarket,Gabriel Attal,qual,2899,28985
2026-09-24,polymarket,Bruno Retailleau,win,2351982,281493
2026-09-24,polymarket,Bruno Retailleau,qual,2246,14704
2026-09-24,polymarket,François Hollande,win,1975187,148516
2026-09-24,polymarket,François Hollande,qual,12269,39038
2026-09-24,polymarket,Raphaël Glucksmann,win,1857908,242436
2026-09-24,polymarket,Raphaël Glucksmann,qual,5042,26522
2026-09-24,polymarket,Jean-Luc Mélenchon,win,1607546,256090
2026-09-24,polymarket,Jean-Luc Mélenchon,qual,10920,6113
2026-09-24,polymarket,Marine Tondelier,win,4224833,669722
2026-09-24,polymarket,Marine Tondelier,qual,3022,14015
2026-09-24,polymarket,Fabien Roussel,win,4244293,528304
2026-09-24,polymarket,Fabien Roussel,qual,6265,15657
2026-09-24,polymarket,Olivier Faure,win,5990006,273881
2026-09-24,polymarket,Olivier Faure,qual,936,16779
2026-09-24,polymarket,Dominique de Villepin,win,1993857,209964
2026-09-24,polymarket,Dominique de Villepin,qual,1463,17634
2026-09-24,polymarket,Nicolas Dupont-Aignan,win,4741077,636227
2026-09-24,polymarket,Nicolas Dupont-Aignan,qual,799,18066
2026-09-24,polymarket,Sarah Knafo,win,2176656,252674
2026-09-24,polymarket,Sarah Knafo,qual,4781,26091
2026-09-24,polymarket,Sébastien Lecornu,win,1777257,220076
2026-09-24,polymarket,Sébastien Lecornu,qual,1557,15872
2026-09-24,kalshi,François Hollande,win,36795,25386
2026-09-24,kalshi,Sarah Knafo,win,5091,2812
2026-09-24,kalshi,Sébastien Lecornu,win,2247,2196
2026-09-24,kalshi,Dominique de Villepin,win,8219,5016
2026-09-24,kalshi,Olivier Faure,win,102,102
2026-09-24,kalshi,Jean-Luc Mélenchon,win,23451,15607
2026-09-24,kalshi,Laurent Wauquiez,win,2,2
2026-09-24,kalshi,Gabriel Attal,win,18374,9252
2026-09-24,kalshi,David Lisnard,win,23035,11181
2026-09-24,kalshi,Bruno Retailleau,win,3855,3390
2026-09-24,kalshi,Marine Le Pen,win,105451,59554
2026-09-24,kalshi,Jordan Bardella,win,78619,26491
2026-09-24,kalshi,Éric Zemmour,win,3137,3136
2026-09-24,kalshi,Édouard Philippe,win,33437,12745
2026-09-24,kalshi,Raphaël Glucksmann,ballot,1920,1523
2026-09-24,kalshi,Olivier Faure,ballot,470,310
2026-09-24,kalshi,Nicolas Dupont-Aignan,ballot,103,88
2026-09-24,kalshi,Marine Tondelier,ballot,103,96
2026-09-24,kalshi,Marine Le Pen,ballot,60,37
2026-09-24,kalshi,Jean-Luc Mélenchon,ballot,6,6
2026-09-24,kalshi,Jordan Bardella,ballot,325,211
2026-09-24,kalshi,Gabriel Attal,ballot,4745,2783
2026-09-24,kalshi,Fabien Roussel,ballot,382,380
2026-09-24,kalshi,François Hollande,ballot,1643,1596
2026-09-24,kalshi,Éric Zemmour,ballot,4460,1340
2026-09-24,kalshi,Édouard Philippe,ballot,584,258
2026-09-24,kalshi,Dominique de Villepin,ballot,1735,1721
2026-09-24,kalshi,Bruno Retailleau,ballot,1364,590
