week,candidate,average,scenarios
2025-09-22,Bruno Retailleau,11.0,6
2025-09-22,Dominique de Villepin,4.8,6
2025-09-22,Fabien Roussel,3.9,6
2025-09-22,François Bayrou,3.0,1
2025-09-22,Gabriel Attal,10.0,1
2025-09-22,Gérald Darmanin,7.0,1
2025-09-22,Jean-Luc Mélenchon,12.7,6
2025-09-22,Jordan Bardella,34.2,5
2025-09-22,Marine Le Pen,33.0,1
2025-09-22,Nathalie Arthaud,1.2,6
2025-09-22,Nicolas Dupont-Aignan,2.2,6
2025-09-22,Olivier Faure,7.0,1
2025-09-22,Raphaël Glucksmann,15.2,5
2025-09-22,Édouard Philippe,17.0,3
2025-09-22,Éric Zemmour,4.5,6
2025-09-29,Bruno Retailleau,12.9,4
2025-09-29,Fabien Roussel,3.5,4
2025-09-29,Gabriel Attal,12.0,1
2025-09-29,Jean-Luc Mélenchon,14.8,4
2025-09-29,Jordan Bardella,30.3,3
2025-09-29,Marine Le Pen,30.5,1
2025-09-29,Marine Tondelier,7.5,1
2025-09-29,Nathalie Arthaud,1.2,4
2025-09-29,Nicolas Dupont-Aignan,3.9,4
2025-09-29,Olivier Faure,8.0,1
2025-09-29,Raphaël Glucksmann,15.0,2
2025-09-29,Édouard Philippe,18.0,3
2025-09-29,Éric Zemmour,5.5,4
2025-10-06,Bruno Retailleau,10.5,4
2025-10-06,Fabien Roussel,3.0,4
2025-10-06,Gabriel Attal,12.0,2
2025-10-06,Jean-Luc Mélenchon,14.0,4
2025-10-06,Jordan Bardella,35.0,2
2025-10-06,Marine Le Pen,34.0,2
2025-10-06,Marine Tondelier,3.0,4
2025-10-06,Nathalie Arthaud,1.0,4
2025-10-06,Nicolas Dupont-Aignan,1.2,4
2025-10-06,Raphaël Glucksmann,13.0,4
2025-10-06,Édouard Philippe,15.5,2
2025-10-06,Éric Zemmour,6.0,4
2025-10-27,Bruno Retailleau,8.2,3
2025-10-27,Dominique de Villepin,4.0,5
2025-10-27,Fabien Roussel,3.3,5
2025-10-27,François Hollande,6.5,1
2025-10-27,Gabriel Attal,12.5,1
2025-10-27,Gérald Darmanin,7.0,1
2025-10-27,Jean-Luc Mélenchon,12.3,5
2025-10-27,Jordan Bardella,36.0,4
2025-10-27,Laurent Wauquiez,3.0,1
2025-10-27,Marine Le Pen,34.0,1
2025-10-27,Marine Tondelier,5.0,5
2025-10-27,Nathalie Arthaud,1.2,5
2025-10-27,Nicolas Dupont-Aignan,2.2,5
2025-10-27,Olivier Faure,5.5,1
2025-10-27,Philippe de Villiers,4.5,1
2025-10-27,Raphaël Glucksmann,12.0,3
2025-10-27,Sarah Knafo,6.2,2
2025-10-27,Xavier Bertrand,5.5,1
2025-10-27,Édouard Philippe,18.0,3
2025-10-27,Éric Zemmour,5.2,2
2025-11-17,Bruno Retailleau,8.5,3
2025-11-17,Fabien Roussel,3.0,3
2025-11-17,Gabriel Attal,11.0,1
2025-11-17,Jean-Luc Mélenchon,11.7,3
2025-11-17,Jordan Bardella,35.8,3
2025-11-17,Marine Tondelier,5.8,3
2025-11-17,Nathalie Arthaud,1.0,2
2025-11-17,Nicolas Dupont-Aignan,2.3,3
2025-11-17,Raphaël Glucksmann,13.7,3
2025-11-17,Édouard Philippe,17.0,2
2025-11-17,Éric Zemmour,3.5,3
2026-02-02,Bruno Retailleau,3.0,1
2026-02-02,Dominique de Villepin,3.0,1
2026-02-02,Fabien Roussel,1.0,1
2026-02-02,François Ruffin,2.0,1
2026-02-02,Gabriel Attal,9.0,1
2026-02-02,Jean-Luc Mélenchon,25.0,1
2026-02-02,Jordan Bardella,27.0,1
2026-02-02,Marine Tondelier,6.0,1
2026-02-02,Nathalie Arthaud,1.0,1
2026-02-02,Nicolas Dupont-Aignan,1.0,1
2026-02-02,Raphaël Glucksmann,10.0,1
2026-02-02,Édouard Philippe,8.0,1
2026-02-02,Éric Zemmour,4.0,1
2026-02-23,Bruno Retailleau,12.2,9
2026-02-23,Dominique de Villepin,4.5,6
2026-02-23,Fabien Roussel,2.6,10
2026-02-23,François Hollande,8.0,1
2026-02-23,Gabriel Attal,10.5,2
2026-02-23,Gérald Darmanin,8.0,1
2026-02-23,Jean-Luc Mélenchon,10.8,10
2026-02-23,Jordan Bardella,36.6,8
2026-02-23,Marine Le Pen,34.5,2
